row_id,order_id,order_date,ship_date,ship_mode,customer_id,country,city,state,postal_code,region,product_id,sales,quantity,discount,profit,customer_name,segment,category,sub_category,product_name
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,261.96,2,0.0,41.9136,Claire Gute,Consumer,Furniture,Bookcases,Bush Somerset Collection Bookcase
9335,CA-2017-110198,2017-05-01,2017-05-02,First Class,AG-10900,United States,Coral Springs,Florida,33065,South,FUR-BO-10001798,314.35200000000003,3,0.2,-15.7176,Arthur Gainer,Consumer,Furniture,Bookcases,Bush Somerset Collection Bookcase
8635,CA-2017-159793,2017-08-25,2017-08-29,Standard Class,SV-20365,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10001798,130.98,2,0.5,-89.0664,Seth Vernon,Consumer,Furniture,Bookcases,Bush Somerset Collection Bookcase
5400,CA-2016-117681,2016-04-09,2016-04-14,Standard Class,HF-14995,United States,Los Angeles,California,90004,West,FUR-BO-10001798,556.665,5,0.15,6.5489999999999995,Herbert Flentye,Consumer,Furniture,Bookcases,Bush Somerset Collection Bookcase
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,731.94,3,0.0,219.582,Claire Gute,Consumer,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
9033,CA-2017-105823,2017-06-22,2017-06-26,Standard Class,RB-19465,United States,Detroit,Michigan,48227,Central,FUR-CH-10000454,487.96,2,0.0,146.388,Rick Bensley,Home Office,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
150,CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,United States,Franklin,Wisconsin,53132,Central,FUR-CH-10000454,1951.84,8,0.0,585.552,Justin Ellison,Corporate,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
7390,CA-2017-108035,2017-11-29,2017-12-03,Standard Class,TT-21070,United States,Chattanooga,Tennessee,37421,South,FUR-CH-10000454,390.36800000000005,2,0.2,48.79600000000001,Ted Trevino,Consumer,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
4735,CA-2016-120530,2016-04-07,2016-04-12,Standard Class,DL-13600,United States,New York City,New York,10035,East,FUR-CH-10000454,658.7460000000001,3,0.1,146.388,Dorris liebe,Corporate,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
7562,CA-2016-105746,2016-12-30,2017-01-01,First Class,BD-11605,United States,Lancaster,Pennsylvania,17602,East,FUR-CH-10000454,170.78599999999997,1,0.3,0.0,Brian Dahlen,Consumer,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
5142,CA-2016-111213,2016-04-01,2016-04-05,Standard Class,FP-14320,United States,New York City,New York,10009,East,FUR-CH-10000454,1317.4920000000002,6,0.1,292.776,Frank Preis,Consumer,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
4851,CA-2014-107818,2014-09-08,2014-09-14,Standard Class,MC-17275,United States,Pasco,Washington,99301,West,FUR-CH-10000454,975.92,5,0.2,121.99,Marc Crier,Consumer,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
4881,CA-2017-143567,2017-11-02,2017-11-05,Second Class,TB-21175,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,975.92,4,0.0,292.776,Thomas Boland,Corporate,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
5469,CA-2014-132451,2014-09-26,2014-09-27,First Class,KF-16285,United States,San Diego,California,92105,West,FUR-CH-10000454,585.552,3,0.2,73.194,Karen Ferguson,Home Office,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
